X,Z,reason,context,removed,added,tier,size,sleepers
-3459,1544,redundant,downtown,downtown_filler_06,xcpv_Pet_Store_TehKarmah,1,25x25,1
-3458,1496,redundant,downtown,downtown_filler_13,xcpv_Pet_Store_Zeebark,1,25x25,1
-3454,1304,junk,downtown,rubble_downtown_filler_17,xcpv_Convenience_OctoberFire,1,25x25,1
-3454,1428,redundant,downtown,downtown_filler_14,xcpv_Nutz_TehKarmah,1,25x25,1
-3451,1569,junk,downtown,rubble_downtown_filler_19,xcpv_Entrance_Sinkhole_FNS,0,25x25,1
-3442,3255,junk,industrial,lot_vacant_01,xcpv_Store_XS_11_ZZTong,1,25x25,1
-3436,1154,junk,downtown,rubble_downtown_filler_01,xcpv_City_Park_OctoberFire,0,25x25,1
-3436,3664,junk,industrial,lot_industrial_17,xcpv_Supermarket_04_Zyncosa,0,25x25,1
-3434,1544,junk,downtown,rubble_downtown_filler_21,xcpv_Camping_Shop_Zeebark,1,25x25,1
-3426,1569,redundant,downtown,downtown_filler_05,xcpv_Pet_Salon_Zeebark,1,25x25,1
-3413,1192,junk,downtown,rubble_downtown_filler_02,xcpv_Filler_2_Stallionsden,0,25x25,1
-3413,1329,junk,downtown,remnant_downtown_strip_08,xcpv_Multi_Storey_War3zuk,2,42x42,1
-3413,1429,junk,downtown,rubble_downtown_filler_16,xcpv_Farmers_Market_Vittles,1,25x25,1
-3413,1494,redundant,downtown,downtown_filler_07,xcpv_Park_ShadowEnvy,0,25x25,1
-3413,1674,redundant,wilderness,downtown_filler_12,xcpv_Lot_for_Sale_Zeebark,0,25x25,0
-3410,1279,junk,downtown,remnant_downtown_filler_29,xcpv_Filler_4_Stallionsden,0,25x25,1
-3410,1304,redundant,downtown,downtown_filler_15,xcpv_Donut_Shop_Bigstep70,1,25x25,1
-3398,3498,redundant,industrial,parking_lot_03,xcpv_Store_S_03_ZZTong,3,42x42,1
-3396,-1965,junk,wilderness,wilderness_filler_09,xcpv_Site_2_AndyRed,0,25x25,1
-3377,1278,junk,downtown,rubble_downtown_filler_03,xcpv_Estate_Agent_Medusa,1,25x25,1
-3376,3265,junk,industrial,lot_vacant_02,xcpv_Supermarket_03_Dest_Zyncosa,0,25x25,1
-3372,1460,junk,downtown,rubble_downtown_filler_20,xcpv_Downtown_Building_Lot_01_Zeebark,0,25x25,1
-3371,1237,junk,downtown,lot_downtown_filler_01,xcpv_Eco_Apartments_Voltralux,3,25x25,1
-3371,1346,redundant,downtown,downtown_filler_25,xcpv_Store_XS_02_ZZTong,1,25x25,1
-3371,1387,junk,downtown,rubble_downtown_filler_18,xcpv_Corner_Store_Alice,1,25x25,1
-3371,1493,redundant,downtown,downtown_filler_11,xcpv_Zee_Bliss_Zeebark,2,25x25,1
-3357,-2058,junk,wilderness,wilderness_filler_15,xcpv_Forest_1_Killerbunny,1,25x25,1
-3357,-2033,junk,wilderness,wilderness_filler_18,xcpv_Trailer_04_ZZTong,1,25x25,1
-3353,-2151,junk,wilderness,wilderness_filler_10,xcpv_Site_4_AndyRed,0,25x25,0
-3346,1346,junk,downtown,remnant_downtown_filler_26,xcpv_Countrytown_Alice,2,25x25,1
-3346,1387,junk,downtown,remnant_downtown_strip_06,xcpv_Mozart_Conservatory_Cerberus,3,42x42,1
-3345,1536,junk,downtown,rubble_downtown_filler_13,xcpv_Filler_2_Zeebark,0,25x25,1
-3345,3678,junk,industrial,lot_industrial_19,xcpv_Strip_Food_Stores_Gtpwr,1,25x25,1
-3340,1305,junk,downtown,remnant_downtown_filler_04,xcpv_Computer_Store_Zeebark,1,25x25,1
-3339,3509,junk,industrial,lot_vacant_03,xcpv_Store_XS_09_ZZTong,1,25x25,1
-3333,-34,redundant,countrytown,utility_celltower_01,xcpv_Oldwest_Graveyard_01_Chaz916Gaming,0,25x25,1
-3332,-2047,junk,wilderness,wilderness_filler_20,xcpv_Taylors_Camp_Tdestructinator,1,25x25,1
-3328,1429,junk,downtown,remnant_downtown_filler_09,xcpv_Filler_Sandbox_1_Arramus,0,25x25,0
-3320,1455,redundant,downtown,downtown_filler_27,xcpv_Store_Joel_Diegar,1,25x25,1
-3320,1536,junk,downtown,rubble_downtown_filler_12,xcpv_Drive_Thru_01_ZZTong,1,25x25,1
-3320,1576,redundant,downtown,downtown_filler_30,xcpv_Store_Hugh_Diegar,2,25x25,1
-3319,-251,redundant,countrytown,funeral_home_01,xcpv_Oldwest_Boarbear_Bar_Weazelsun,2,42x42,1
-3307,1304,junk,downtown,remnant_downtown_filler_07,xcpv_Cool_Shooz_Duplex_Zeebark,1,25x25,1
-3306,-34,junk,countrytown,lot_industrial_06,xcpv_Oldwest_Feed_Seed_Chaz916Gaming,2,25x25,1
-3306,1346,junk,downtown,remnant_downtown_filler_12,xcpv_Fire_Station_Slick50,1,25x25,1
-3304,1391,junk,downtown,remnant_downtown_filler_23,xcpv_Filler_Zeebark,0,25x25,1
-3293,-1327,junk,wilderness,wilderness_filler_05,xcpv_Shack_03_TallManBrad,0,25x25,1
-3282,-2143,junk,wilderness,wilderness_filler_04,xcpv_Potatofield_Oscerc,0,25x25,0
-3281,1429,junk,downtown,remnant_downtown_filler_11,xcpv_Fit_You_Shema,2,25x25,1
-3281,1480,redundant,downtown,parking_garage_03,xcpv_Alamo_Sarongas1999_Crazy1,2,42x42,1
-3279,1546,junk,downtown,remnant_business_04,xcpv_Multi_Storey_2_War3zuk,5,42x42,1
-3261,-153,junk,countrytown,lot_industrial_16,xcpv_Oldwest_Cliff_House_War3zuk,0,25x25,1
-3261,-71,junk,countrytown,remnant_burnt_04,xcpv_Oldwest_Church_TFP,0,25x25,1
-3256,1305,junk,downtown,remnant_downtown_strip_02,xcpv_Mo_Power_01_InfectedGaming,1,42x42,1
-3256,1367,junk,downtown,remnant_downtown_filler_25,xcpv_Filler_1_Stallionsden,0,25x25,1
-3256,1392,junk,downtown,remnant_downtown_filler_24,xcpv_Filler_Park_11A_Deverezieaux,0,25x25,1
-3256,1429,junk,downtown,remnant_downtown_filler_08,xcpv_Filler_Park_11_Deverezieaux,0,25x25,0
-3236,3469,junk,industrial,lot_vacant_04,xcpv_Supermarket_02_Dest_Zyncosa,0,25x25,1
-3233,-333,junk,countrytown,remnant_coffee_shop_02,xcpv_Oldwest_Church_Chaz916Gaming,1,25x25,1
-3233,-306,junk,countrytown,remnant_coffee_shop_01,xcpv_Oldwest_Cathouse_Medusa,1,25x25,1
-3231,1359,junk,downtown,remnant_downtown_filler_05,xcpv_Filler_Deverezieaux,4,25x25,1
-3231,1384,junk,downtown,remnant_downtown_filler_27,xcpv_Fanz_Duplex_Zeebark,2,25x25,1
-3222,78,junk,countrytown,lot_industrial_05,xcpv_Oldwest_Fire_Hall_Weazelsun,1,25x25,1
-3222,1429,junk,downtown,remnant_downtown_filler_06,xcpv_Filler_Park_10A_Deverezieaux,0,25x25,1
-3221,1455,junk,downtown,rubble_downtown_filler_14,xcpv_Electrical_Substation_01_ZZTong,0,25x25,1
-3221,1490,redundant,downtown,downtown_filler_31,xcpv_Subday_Swolk,1,25x25,1
-3221,1516,junk,downtown,rubble_downtown_filler_15,xcpv_Filler_3_Zeebark,0,25x25,1
-3221,1541,junk,downtown,rubble_downtown_filler_11,xcpv_Filler_3_Stallionsden,0,25x25,1
-3212,-1269,junk,wilderness,wilderness_filler_19,xcpv_Field_Cotton_01_ZZTong,0,25x25,1
-3196,-261,junk,countrytown,lot_vacant_06,xcpv_Oldwest_Diner_Barber_Chaz916Gaming,1,25x25,1
-3188,-46,junk,countryresidential,lot_vacant_09,xcpv_Basement_PVWolfgang,2,25x25,1
-3185,1223,junk,wilderness,remnant_skyscraper_02,xcpv_Concrete_Plant_Zyncosa,5,60x60,1
-3185,1283,junk,wilderness,remnant_skyscraper_04,xcpv_Colony_Ship_NAGG,5,60x60,1
-3185,1343,junk,wilderness,remnant_skyscraper_05,xcpv_City_02_Stallionsden,2,60x60,1
-3182,-1981,junk,wilderness,wilderness_filler_11,xcpv_Site_5_AndyRed,0,25x25,0
-3176,1198,redundant,wilderness,downtown_filler_park_02,xcpv_Military_Dumpsite_01_Weazelsun,0,25x25,1
-3161,-2178,junk,wilderness,wilderness_filler_06,xcpv_Field_Pumpkin_01_ZZTong,0,25x25,1
-3114,-261,junk,countrytown,lot_industrial_11,xcpv_Oldwest_Courthouse_Medusa,1,25x25,1
-3114,-236,junk,countrytown,remnant_coffee_shop_03,xcpv_Oldwest_Clothier_Chaz916Gaming,1,25x25,1
-3088,-2160,junk,wilderness,wilderness_filler_08,xcpv_Field_Yucca_01_ZZTong,0,25x25,1
-3067,929,redundant,wilderness,utility_celltower_01,xcpv_Small_Hive_FNS,4,25x25,1
-3045,2275,junk,industrial,lot_industrial_11,xcpv_Hydro_Plant_LuckyStar,2,25x25,1
-3045,2355,junk,industrial,lot_industrial_12,xcpv_Gas_Station_Zyncosa,0,25x25,1
-3035,2209,junk,industrial,lot_industrial_10,xcpv_Servo_1_OctoberFire,1,25x25,1
-3032,-2045,junk,wilderness,wilderness_filler_01,xcpv_Burial_Shrine_Snake0567,2,25x25,1
-3032,2526,junk,industrial,remnant_industrial_large_01,xcpv_AFP_Stallionsden,5,100x100,1
-3031,2114,junk,industrial,lot_industrial_09,xcpv_Utility_Cell_Tower_Dough,1,25x25,1
-3027,2145,redundant,industrial,parking_lot_01,xcpv_Utility_Pump_Station_Deverezieaux,2,42x42,1
-3020,2310,junk,industrial,remnant_burnt_06,xcpv_Apartment_Building_Gouki,4,42x42,1
-3007,-2045,junk,wilderness,wilderness_filler_02,xcpv_Trailer_03_ZZTong,1,25x25,1
-2994,-116,junk,countryresidential,lot_industrial_04,xcpv_Boys_Only_Hotel_LukeSwagDab,0,25x25,1
-2991,2223,redundant,industrial,industrial_business_08,xcpv_Warehouse_04_ZZTong,3,42x42,1
-2980,2057,redundant,industrial,parking_lot_03,xcpv_Warehouse_02_ZZTong,4,42x42,1
-2964,2329,junk,industrial,lot_industrial_07,xcpv_Gas_Water_Power_FNS,3,25x25,1
-2955,2141,redundant,industrial,parking_lot_02,xcpv_Warehouse_01_ZZTong,2,42x42,1
-2939,2221,junk,industrial,remnant_burnt_05,xcpv_Apartment_01_ZZTong,4,42x42,1
-2929,-196,junk,countryresidential,lot_vacant_07,xcpv_Beetle_Katharsys,1,25x25,1
-2928,2074,junk,industrial,lot_industrial_08,xcpv_Warehouse_Batman,1,25x25,1
-2922,2505,junk,industrial,lot_industrial_13,xcpv_Cell_Tower_LuckyStar,1,25x25,1
-2896,2055,redundant,industrial,junkyard_01,xcpv_Hightop_Curbolt,3,60x60,1
-2893,2356,junk,downtown,rubble_downtown_filler_03,xcpv_LittleAsia_Rickshaw_Stand_Komotipanda,0,25x25,1
-2893,2381,redundant,downtown,downtown_filler_09,xcpv_ProTech_Cafe_TheStainGaming,2,25x25,1
-2886,2148,redundant,industrial,remnant_waste_05,xcpv_Warehouse_Illidua,1,42x42,1
-2881,-1786,junk,industrial,lot_industrial_10,xcpv_Lumber_Mill_IceJudge,0,25x25,1
-2879,2204,junk,downtown,remnant_downtown_filler_27,xcpv_L4D_Pavilion_CraterCreator,0,25x25,1
-2876,-1689,junk,industrial,lot_vacant_02,xcpv_Store_XS_08_ZZTong,1,25x25,1
-2876,-152,redundant,residential,house_modern_27,xcpv_Modern_House_TopMinder,1,42x42,1
-2875,-92,junk,residential,remnant_house_11,xcpv_House_01_Nodabba,1,42x42,1
-2867,3055,junk,wilderness,lot_rural_filler_10,xcpv_Cidery_Dest_Deverezieaux,4,60x60,1
-2854,2204,junk,downtown,remnant_downtown_filler_29,xcpv_LittleAsia_Modern_Cottage_StompyNZ,0,25x25,1
-2854,2328,junk,downtown,remnant_downtown_filler_28,xcpv_LittleAsia_Living_House_sm_Magoli,1,25x25,1
-2853,2356,redundant,downtown,downtown_filler_06,xcpv_Uptown_Filler_05_LuzipherMST,3,25x25,1
-2853,2478,redundant,downtown,downtown_filler_07,xcpv_Zee_Plantz_Zeebark,1,25x25,1
-2836,-1586,junk,industrial,lot_industrial_09,xcpv_Store_XS_06_ZZTong,2,25x25,1
-2828,2436,junk,downtown,remnant_business_04,xcpv_Furniture_Store_NLBlackEagle,5,42x42,1
-2814,2354,junk,downtown,rubble_downtown_filler_04,xcpv_LittleAsia_Sword_Master_Magoli,0,25x25,1
-2814,2379,junk,downtown,remnant_downtown_strip_01,xcpv_Gaming_Store_Lunitar,1,42x42,1
-2813,-344,junk,residential,remnant_burnt_10,xcpv_House_02_Guppycur,1,42x42,1
-2813,-300,junk,residential,remnant_burnt_09,xcpv_House_01_Redzero83,1,42x42,1
-2813,-240,redundant,residential,house_modern_26,xcpv_Modern_Villa_Owl79,2,42x42,1
-2813,2329,junk,downtown,remnant_downtown_filler_25,xcpv_Kissing_Booth_Stallionsden,1,25x25,1
-2810,2204,redundant,downtown,downtown_filler_12,xcpv_Retro_Cafe_Zeebark,1,25x25,1
-2807,-152,junk,residential,remnant_burnt_02,xcpv_House_01_JSDoctor,2,42x42,1
-2806,2055,junk,industrial,remnant_business_01,xcpv_Boxing_Gym_KamR,3,60x60,1
-2798,2148,junk,industrial,remnant_waste_06,xcpv_Apartment_Gertle,5,42x42,1
-2778,-1826,junk,industrial,lot_vacant_01,xcpv_Mikeys_Mines_FNS,1,25x25,1
-2772,2420,junk,downtown,remnant_downtown_filler_30,xcpv_LittleAsia_Pagoda_Magoli,3,25x25,1
-2772,2445,junk,downtown,rubble_downtown_filler_01,xcpv_LittleAsia_Restaurant_Valconian,0,25x25,1
-2772,2470,junk,downtown,rubble_downtown_filler_05,xcpv_LittleAsia_Temple_Monks_Magoli,2,25x25,1
-2771,-612,junk,wilderness,wilderness_filler_06,xcpv_Rural_Filler_06_ZZTong,0,25x25,0
-2771,2246,junk,downtown,remnant_downtown_filler_26,xcpv_Kits_Gelato_Shema,2,25x25,1
-2746,2137,junk,downtown,remnant_downtown_filler_23,xcpv_Kick_Flipz_VoltraLux,1,25x25,1
-2746,2246,junk,downtown,rubble_downtown_filler_14,xcpv_Lot_Vacant_02_ZZTong,0,25x25,1
-2746,2287,junk,downtown,rubble_downtown_filler_12,xcpv_LittleAsia_filler_01_TFP,0,25x25,1
-2745,-1475,junk,industrial,lot_vacant_04,xcpv_Store_XS_16_ZZTong,1,25x25,1
-2745,2096,redundant,downtown,downtown_filler_14,xcpv_Slabhouse_01_ZZTong,1,25x25,1
-2745,2459,junk,commercial,remnant_burnt_08,xcpv_Rest_Area_Guppycur,1,42x42,1
-2745,2504,junk,commercial,remnant_business_02,xcpv_Apartment_02_ZZTong,4,60x60,1
-2744,2804,junk,commercial,remnant_waste_18,xcpv_Apartment_Notti,4,60x60,1
-2739,-1741,junk,industrial,lot_vacant_03,xcpv_Military_Installation_Zyncosa,0,25x25,1
-2737,-1149,junk,commercial,remnant_waste_03,xcpv_Car_Dealership_New_P1ut0nium,1,42x42,1
-2736,-1951,junk,downtown,remnant_downtown_filler_24,xcpv_Downtown_Building_Lot_Zeebark,0,25x25,0
-2736,-1926,junk,downtown,lot_downtown_filler_01,xcpv_Solar_Farm_02_ZZTong,0,25x25,1
-2735,-1541,junk,industrial,lot_industrial_07,xcpv_Store_XS_10_ZZTong,2,25x25,1
-2731,1641,junk,wilderness,wilderness_filler_03,xcpv_L4D_Tower_CraterCreator,0,25x25,1
-2728,2056,junk,downtown,remnant_downtown_filler_20,xcpv_JoJos_JSDoctor,2,25x25,1
-2726,-296,junk,residential,remnant_house_06,xcpv_House_01_Guppycur,1,42x42,1
-2721,2137,redundant,downtown,parking_garage_02,xcpv_Ambulance_Depot_01_Weazelsun,0,42x42,1
-2721,2229,junk,downtown,remnant_downtown_strip_02,xcpv_Gas_N_Wash_LuckyStar,2,42x42,1
-2721,2287,junk,downtown,remnant_downtown_strip_03,xcpv_Hicks_Diner_WillyBilly,2,42x42,1
-2711,-1996,junk,downtown,remnant_downtown_filler_27,xcpv_Warehouse_03_ZZTong,2,25x25,1
-2711,-1959,junk,downtown,rubble_downtown_filler_05,xcpv_Waste_Disposal_Vittles,1,25x25,1
-2711,-1934,junk,downtown,remnant_downtown_filler_25,xcpv_Optometrists_Vittles,1,25x25,1
-2707,2329,junk,downtown,rubble_downtown_filler_15,xcpv_Lot_Vacant_07_EvilRacc0on,1,25x25,1
-2704,-1741,redundant,industrial,parking_lot_02,xcpv_Canucks_Coffee_Nagg_Community,3,42x42,1
-2704,2179,junk,downtown,remnant_downtown_filler_24,xcpv_Kindergarden_Oscerc,1,25x25,1
-2704,2204,redundant,downtown,downtown_filler_05,xcpv_Reptile_Store_Zeebark,2,25x25,1
-2701,2060,junk,downtown,remnant_church_01,xcpv_Ground Zero Mart_Midnight,5,60x60,1
-2692,-338,junk,residential,remnant_house_09,xcpv_House_01_Infected_Gaming,2,42x42,1
-2664,-1421,junk,industrial,lot_industrial_06,xcpv_Store_XS_12_ZZTong,1,25x25,1
-2663,2137,redundant,downtown,parking_garage_01,xcpv_Ambulance_Station_Zeebark,1,42x42,1
-2663,2179,junk,downtown,remnant_downtown_filler_19,xcpv_Jail_Break_Pizza_Zeebark,2,25x25,1
-2663,2205,redundant,downtown,downtown_filler_03,xcpv_Prepper_Petes_Lunitar,2,25x25,1
-2663,2329,junk,downtown,rubble_downtown_filler_16,xcpv_Lot_Vacant_08_Evilracc0on,1,25x25,1
-2661,-1913,junk,downtown,remnant_downtown_filler_19,xcpv_Power_Station_LuckyStar,1,25x25,1
-2660,-1871,junk,downtown,rubble_downtown_filler_14,xcpv_Private_School_Vittles,2,25x25,1
-2657,2549,junk,commercial,remnant_waste_16,xcpv_Apartment_03_ZZTong,4,60x60,1
-2656,-398,redundant,wilderness,house_old_mansard_05,xcpv_Fire_Academy_01_ZZTong,2,42x42,1
-2652,-1386,junk,industrial,remnant_burnt_06,xcpv_Church_Sarongas1999_Crazy1,2,42x42,1
-2639,-1996,junk,downtown,rubble_downtown_filler_12,xcpv_Small_Cafe_Bostonlondon,0,25x25,1
-2639,-1529,junk,industrial,remnant_burnt_05,xcpv_Church_NekrusAndro_Malius,1,42x42,1
-2638,2329,junk,downtown,rubble_downtown_filler_17,xcpv_Lot_Vacant_09_EvilRacc0on,1,25x25,1
-2636,-1781,junk,industrial,lot_industrial_08,xcpv_LittleAsia_Restaurant_Valconian,0,25x25,1
-2627,-1872,junk,downtown,remnant_downtown_filler_09,xcpv_PoPo_TehKarmah,2,25x25,1
-2623,2222,junk,downtown,rubble_downtown_filler_13,xcpv_Lot_Vacant_01_ZZTong,0,25x25,1
-2621,-1913,junk,downtown,remnant_downtown_filler_22,xcpv_Restaurant_Gertle,1,25x25,1
-2621,2071,junk,downtown,remnant_downtown_filler_22,xcpv_Key_2_Home_BattlePapi,1,25x25,1
-2621,2096,junk,downtown,remnant_downtown_filler_21,xcpv_Junkyard_WillyBilly,0,25x25,1
-2621,2140,redundant,downtown,downtown_filler_13,xcpv_Ultrascans_Clinic_AndyRed,1,25x25,1
-2596,-1953,junk,downtown,remnant_downtown_filler_17,xcpv_Quad_Zeebark,3,25x25,1
-2596,-1845,junk,downtown,rubble_downtown_filler_04,xcpv_Zee_Bliss_Zeebark,2,25x25,1
-2596,-1808,junk,downtown,remnant_downtown_filler_28,xcpv_Pet_Store_TehKarmah,1,25x25,1
-2596,-1783,junk,downtown,remnant_downtown_filler_08,xcpv_Smoke_Shop_EvilRacc0on,1,25x25,1
-2596,-1757,junk,downtown,remnant_downtown_filler_21,xcpv_Wooden_Store_Guppycur,1,25x25,1
-2596,-1722,junk,downtown,remnant_downtown_filler_16,xcpv_Speedy_Flowers_Fluffy_Panda,1,25x25,1
-2596,-1653,junk,downtown,rubble_downtown_filler_12,xcpv_Nerdy_Glasses_Billboard_FNS,0,25x25,1
-2596,-838,junk,commercial,remnant_waste_04,xcpv_Cafe_LazyTurtle89,2,42x42,1
-2595,-1246,junk,commercial,remnant_business_02,xcpv_Data_Center_Level50Unlocked,5,60x60,1
-2595,2097,junk,downtown,remnant_downtown_filler_11,xcpv_Gym_Theodryck,1,25x25,1
-2595,2737,junk,downtown,remnant_downtown_strip_04,xcpv_Hospital_Deverezieaux,5,42x42,1
-2594,-1874,junk,downtown,rubble_downtown_filler_23,xcpv_Servo_OctoberFire,1,25x25,1
-2594,-1614,junk,downtown,remnant_downtown_filler_25,xcpv_News_Kiosk_Arramus,0,25x25,1
-2593,2681,junk,downtown,rubble_downtown_filler_22,xcpv_Mens_Club_Vittles,2,25x25,1
-2593,2706,junk,downtown,rubble_downtown_filler_20,xcpv_Manhole_InfectedGaming,1,25x25,1
-2587,2178,junk,downtown,remnant_downtown_filler_06,xcpv_Gamers_Cafe_Mute,2,25x25,1
-2587,2517,junk,commercial,remnant_commercial_strip_04,xcpv_Store_S_02_ZZTong,2,42x42,1
-2587,2601,junk,commercial,remnant_commercial_strip_03,xcpv_Store_S_01_ZZTong,3,42x42,1
-2584,-94,junk,wilderness,wilderness_filler_03,xcpv_Rural_Filler_05_ZZTong,0,25x25,1
-2581,-1486,junk,industrial,lot_industrial_05,xcpv_Supermarket_04_Dest_Zyncosa,0,25x25,1
-2581,2451,junk,commercial,remnant_business_05,xcpv_Store_Jen_Diegar,2,42x42,1
-2577,-1455,redundant,industrial,warehouse_08,xcpv_Gas_Station_Carwash_Mute,1,42x42,1
-2571,-1970,junk,downtown,remnant_downtown_strip_20,xcpv_School_Laz_Man,2,42x42,1
-2571,-1670,junk,downtown,remnant_downtown_strip_01,xcpv_Store_Bank_Deverezieaux,3,42x42,1
-2569,-1874,junk,downtown,remnant_downtown_filler_02,xcpv_Slabhouse_01_ZZTong,1,25x25,1
-2569,-1574,junk,downtown,remnant_downtown_filler_24,xcpv_Military_Installation_Dest_Zyncosa,0,25x25,1
-2562,2178,junk,downtown,remnant_downtown_filler_09,xcpv_GunShop_Kendo_VoltraLux,2,25x25,1
-2553,-1764,junk,downtown,remnant_downtown_strip_11,xcpv_Small_Fitness_KillerBee,1,42x42,1
-2553,2778,redundant,downtown,downtown_filler_park_02,xcpv_Water_Tower_Dough,0,25x25,1
-2552,-1377,junk,residential,remnant_house_03,xcpv_House_Stallionsden,2,42x42,1
-2544,-1874,junk,downtown,rubble_downtown_filler_01,xcpv_Reptile_Store_Zeebark,2,25x25,1
-2544,-1574,junk,downtown,rubble_downtown_filler_05,xcpv_Mixed_Use_Vittles,3,25x25,1
-2537,2178,junk,downtown,remnant_downtown_filler_07,xcpv_Gaming_Den_Mute,2,25x25,1
-2530,-1695,junk,downtown,rubble_downtown_filler_13,xcpv_NoPee_Gass_TehKarmah,1,25x25,1
-2528,2736,junk,downtown,remnant_downtown_strip_05,xcpv_Jail_Sarongas1999_Crazy1,2,42x42,1
-2523,2057,redundant,downtown,downtown_filler_24,xcpv_Quad_Zeebark,3,25x25,1
-2514,-1656,junk,downtown,remnant_downtown_strip_07,xcpv_Station_South_NLBlackEagle,0,42x42,1
-2514,2654,junk,downtown,rubble_downtown_filler_18,xcpv_Lumber_Mill_IceJudge,0,25x25,1
-2505,-1995,junk,downtown,remnant_downtown_filler_20,xcpv_Book_Case_Octoberfire,2,25x25,1
-2505,-1695,junk,downtown,remnant_downtown_filler_05,xcpv_Man_3_EvilRacc0on,3,25x25,1
-2505,-1459,junk,industrial,remnant_waste_08,xcpv_Church_Zyncosa,2,42x42,1
-2498,2057,junk,downtown,remnant_downtown_filler_05,xcpv_Game_Shop_Talladaye,1,25x25,1
-2497,-1843,junk,downtown,rubble_downtown_filler_02,xcpv_Watering_Hole_02_ZZTong,1,25x25,1
-2497,-1803,junk,downtown,remnant_downtown_filler_04,xcpv_Park_ShadowEnvy,0,25x25,1
-2497,-1722,junk,downtown,remnant_downtown_filler_27,xcpv_Mens_Club_Vittles,2,25x25,1
-2492,-1377,junk,residential,remnant_house_12,xcpv_House_Owl79,1,42x42,1
-2489,2357,junk,commercial,remnant_carwash_01,xcpv_Store_Mexico664,2,42x42,1
-2480,-1995,junk,downtown,rubble_downtown_filler_20,xcpv_Bookstore_Kayido,1,25x25,1
-2480,-1695,junk,downtown,remnant_downtown_filler_14,xcpv_Manhole_InfectedGaming,1,25x25,1
-2473,2057,redundant,downtown,downtown_filler_25,xcpv_Polizei_Mute,2,25x25,1
-2473,2097,junk,downtown,remnant_downtown_filler_08,xcpv_Garage_01_ZZTong,0,25x25,1
-2472,-1914,redundant,downtown,downtown_filler_01,xcpv_Massage_Parlour_Stallionsden,4,25x25,1
-2472,-1614,redundant,downtown,downtown_filler_15,xcpv_ZVS_Pharmacy_Ogodno77,1,25x25,1
-2472,2328,junk,industrial,lot_industrial_06,xcpv_Gas_Station_Dest_Zyncosa,0,25x25,1
-2472,2720,junk,downtown,rubble_downtown_filler_19,xcpv_Man_3_EvilRacc0on,3,25x25,1
-2472,2745,junk,downtown,rubble_downtown_filler_21,xcpv_Massage_Parlour_Stallionsden,4,25x25,1
-2472,2770,junk,downtown,rubble_downtown_filler_23,xcpv_Mikeys_Mines_FNS,1,25x25,1
